timestamp,level,component,message,error,count
2024-01-01 10:00:00,ERROR,Database,Connection failed,Connection timeout,5
2024-01-01 10:01:00,ERROR,API,Request failed,Database error,3
2024-01-01 10:02:00,WARN,Auth,Login attempt,Authentication failed,2
2024-01-01 10:03:00,ERROR,Database,Connection failed,Connection timeout,4
2024-01-01 11:00:00,INFO,API,Request completed,None,1
2024-01-01 11:01:00,ERROR,Database,Query timeout,Query execution timeout,2
2024-01-01 12:00:00,WARN,Auth,Login attempt,Invalid credentials,1
2024-01-01 12:01:00,ERROR,API,Request failed,Database error,3
2024-01-01 13:00:00,INFO,Database,Connection restored,None,1
2024-01-01 14:00:00,ERROR,Database,Connection failed,Connection timeout,6
